"","agegrp","DS","Serogroup","Serotype","carriage","disease","n.swab","N","time.int","carr.prev","carr.prev.low","carr.prev.high","lambda","lambda.low","lambda.high","invasiveness","invasiveness.low","invasiveness.high","vaccinationera"
"73","adults","Portugal.pre.PCV","VT7","23F",70,7,1170,8284894,2,0.0598290949329076,0.0476541296632047,0.0749255184109532,7,3.45,14.42,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"74","adults","Portugal.pre.PCV","NVT","24B",0,1,1170,8284894,2,0,0,0.00314518418782891,1,0.24,5.57,0.000300054429796291,0,0.90786468642031,"pre.PCV"
"75","adults","Portugal.pre.PCV","NVT","24F",3,6,1170,8284894,2,0.00256410027472119,0.00093151265242644,0.00746862139543198,6,2.81,13.06,0.000300051149930577,0,0.00110018754974545,"pre.PCV"
"76","adults","Portugal.pre.PCV","NVT","25F",0,1,1170,8284894,2,0,0,0.00314518418782891,1,0.24,5.57,0.000300054429796291,0,0.90786468642031,"pre.PCV"
"77","adults","Portugal.pre.PCV","VT13","3",28,38,1170,8284894,2,0.0239315773808693,0.0166469230416666,0.0343739098252053,38,27.73,52.16,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"78","adults","Portugal.pre.PCV","NVT","31",7,2,1170,8284894,2,0.00598288385221933,0.00295390332122541,0.0122775730536637,2,0.62,7.22,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"79","adults","Portugal.pre.PCV","NVT","33F",4,4,1170,8284894,2,0.00341880952382043,0.001387842069254,0.00872273383027867,4,1.62,10.24,0.000100017049976859,0,0.000300051149930577,"pre.PCV"
"80","adults","Portugal.pre.PCV","NVT","34",18,3,1170,8284894,2,0.0153845604394623,0.00979626749333481,0.0241851118690184,3,1.09,8.77,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"81","adults","Portugal.pre.PCV","NVT","35B",0,1,1170,8284894,2,0,0,0.00314518418782891,1,0.24,5.57,0.000300054429796291,0,0.90786468642031,"pre.PCV"
"82","adults","Portugal.pre.PCV","NVT","35F",35,2,1170,8284894,2,0.029914487942538,0.0216229125439678,0.0413247334400765,2,0.62,7.22,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"83","adults","Portugal.pre.PCV","NVT","37",9,0,1170,8284894,2,0.00769235576931662,0.00410254853477074,0.0145396207438283,0,0,3.68,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"84","adults","Portugal.pre.PCV","NVT","38",0,1,1170,8284894,2,0,0,0.00314518418782891,1,0.24,5.57,0.000300054429796291,0,0.90786468642031,"pre.PCV"
"85","adults","Portugal.pre.PCV","VT7","4",4,32,1170,8284894,2,0.00341880952382043,0.001387842069254,0.00872273383027867,32,22.72,45.17,0.000300051149930577,0.000200034099953718,0.00230039214946776,"pre.PCV"
"86","adults","Portugal.pre.PCV","VT10","5",0,11,1170,8284894,2,0,0,0.00314518418782891,11,6.2,19.68,0.00190034472204317,0.000600108859592581,0.88466047718273,"pre.PCV"
"87","adults","Portugal.pre.PCV","VT13","6A",64,15,1170,8284894,2,0.0547008722527786,0.0430977532423249,0.0692593651304292,15,9.15,24.74,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"88","adults","Portugal.pre.PCV","VT7","6B",69,9,1170,8284894,2,0.0589743040292059,0.0468927233890207,0.073983213614713,9,4.8,17.08,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"89","adults","Portugal.pre.PCV","NVT","6C",14,0,1170,8284894,2,0.0119658409646427,0.00718660852920021,0.0199781454127444,0,0,3.68,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"90","adults","Portugal.pre.PCV","NVT","7C",0,4,1170,8284894,2,0,0,0.00314518418782891,4,1.62,10.24,0.000300054429796291,0.00020003628653086,0.863456630810459,"pre.PCV"
