study,type,carriage_samples,surveillance_population,time_interval,carriage,disease
Netherlands.post.PCV7,21,660,232251,4,16,0
Netherlands.post.PCV7,22F,660,232251,4,7,4
Netherlands.post.PCV7,23A,660,232251,4,11,0
Netherlands.post.PCV7,23B,660,232251,4,24,1
Netherlands.post.PCV7,23F,660,232251,4,2,0
Netherlands.post.PCV7,24B,660,232251,4,0,1
Netherlands.post.PCV7,24F,660,232251,4,3,1
Netherlands.post.PCV7,27,660,232251,4,0,3
Netherlands.post.PCV7,3,660,232251,4,8,3
Netherlands.post.PCV7,31,660,232251,4,1,0
Netherlands.post.PCV7,33A,660,232251,4,2,0
Netherlands.post.PCV7,33F,660,232251,4,7,1
Netherlands.post.PCV7,35B,660,232251,4,9,0
Netherlands.post.PCV7,35F,660,232251,4,17,2
Netherlands.post.PCV7,36,660,232251,4,1,0
Netherlands.post.PCV7,38,660,232251,4,3,0
Netherlands.post.PCV7,4,660,232251,4,1,0
Netherlands.post.PCV7,42,660,232251,4,1,0
Netherlands.post.PCV7,6A,660,232251,4,25,0
Netherlands.post.PCV7,6B,660,232251,4,9,0
Netherlands.post.PCV7,6C,660,232251,4,14,0
Netherlands.post.PCV7,7F,660,232251,4,4,13
Netherlands.post.PCV7,8,660,232251,4,5,4
Netherlands.post.PCV7,9N,660,232251,4,2,0
Netherlands.post.PCV7,9V,660,232251,4,1,1
Netherlands.pre.PCV,1,321,250924,2,1,4
Netherlands.pre.PCV,10A,321,250924,2,1,1
Netherlands.pre.PCV,11A,321,250924,2,10,0
Netherlands.pre.PCV,14,321,250924,2,8,28
Netherlands.pre.PCV,15A,321,250924,2,2,0
Netherlands.pre.PCV,15B/C,321,250924,2,10,2
Netherlands.pre.PCV,16F,321,250924,2,4,0
Netherlands.pre.PCV,17F,321,250924,2,1,1
Netherlands.pre.PCV,18C,321,250924,2,4,6
Netherlands.pre.PCV,19A,321,250924,2,9,5
Netherlands.pre.PCV,19F,321,250924,2,24,4
Netherlands.pre.PCV,21,321,250924,2,2,0
Netherlands.pre.PCV,22F,321,250924,2,2,0
Netherlands.pre.PCV,23A,321,250924,2,1,1
Netherlands.pre.PCV,23B,321,250924,2,12,0
Netherlands.pre.PCV,23F,321,250924,2,28,4
Netherlands.pre.PCV,24F,321,250924,2,1,0
Netherlands.pre.PCV,3,321,250924,2,3,1
Netherlands.pre.PCV,33F,321,250924,2,6,1
Netherlands.pre.PCV,35B,321,250924,2,2,0
Netherlands.pre.PCV,38,321,250924,2,1,0
Netherlands.pre.PCV,4,321,250924,2,1,2
Netherlands.pre.PCV,6A,321,250924,2,25,5
Netherlands.pre.PCV,6B,321,250924,2,43,16
Netherlands.pre.PCV,7F,321,250924,2,0,8
Netherlands.pre.PCV,8,321,250924,2,0,2
Netherlands.pre.PCV,9N,321,250924,2,1,1
Netherlands.pre.PCV,9V,321,250924,2,6,8
Portugal.pre.PCV,1,1170,2071223,2,1,15
Portugal.pre.PCV,10A,1170,2071223,2,19,2
Portugal.pre.PCV,11A,1170,2071223,2,42,0
Portugal.pre.PCV,14,1170,2071223,2,52,12
Portugal.pre.PCV,15A,1170,2071223,2,4,0
Portugal.pre.PCV,15B/C,1170,2071223,2,33,1
Portugal.pre.PCV,16F,1170,2071223,2,36,0
Portugal.pre.PCV,18A,1170,2071223,2,12,0
Portugal.pre.PCV,18C,1170,2071223,2,13,6
Portugal.pre.PCV,19A,1170,2071223,2,45,11
Portugal.pre.PCV,19F,1170,2071223,2,93,1
Portugal.pre.PCV,20,1170,2071223,2,0,1
Portugal.pre.PCV,21,1170,2071223,2,6,0
Portugal.pre.PCV,22F,1170,2071223,2,8,0
Portugal.pre.PCV,23A,1170,2071223,2,11,0
Portugal.pre.PCV,23B,1170,2071223,2,11,1
Portugal.pre.PCV,23F,1170,2071223,2,70,13
Portugal.pre.PCV,24F,1170,2071223,2,3,0
Portugal.pre.PCV,3,1170,2071223,2,28,5
Portugal.pre.PCV,31,1170,2071223,2,7,1
Portugal.pre.PCV,33F,1170,2071223,2,4,1
Portugal.pre.PCV,34,1170,2071223,2,18,0
Portugal.pre.PCV,35F,1170,2071223,2,35,1
Portugal.pre.PCV,37,1170,2071223,2,9,0
Portugal.pre.PCV,4,1170,2071223,2,4,0
Portugal.pre.PCV,5,1170,2071223,2,0,1
Portugal.pre.PCV,6A,1170,2071223,2,64,3
Portugal.pre.PCV,6B,1170,2071223,2,69,5
Portugal.pre.PCV,6C,1170,2071223,2,14,0
Portugal.pre.PCV,7F,1170,2071223,2,3,4
Portugal.pre.PCV,8,1170,2071223,2,1,1
Portugal.pre.PCV,9L,1170,2071223,2,0,1
Portugal.pre.PCV,9N,1170,2071223,2,1,1
